Cell_ID,X_Coordinate,Y_Coordinate,Assigned_Cell_Type,Assignment_Probability,Is_Top_75_Percent,ROI_Region,In_E_Region,In_MVL_Region
CR158ee290a-5906,16018.791923076922,25282.382307692307,Inh_LGE_like_FOXP1_DGKH,0.0009682862,True,outside,False,False
CR158ee290a-5907,7877.509230769229,8775.22076923077,Ex_SATB2_ZNF385B,0.0017978543,True,outside,False,False
CR158ee290a-5908,26677.16692307692,8375.098846153847,Ex_DACH2_NR4A3,0.0043809046,True,outside,False,False
CR158ee290a-5909,14622.7604,19829.4408,Ex_SATB2_ZNF385B,0.0010931515,True,outside,False,False
CR158ee290a-591,21828.735833333336,13825.803333333335,Ex_SATB2_SOX6,0.00043396067,True,outside,False,False
CR158ee290a-5910,14673.288,14478.016999999998,Ex_DACH2_MGAT4C,0.0013986633,True,outside,False,False
CR158ee290a-5911,8224.199166666667,17124.07416666667,Ex_SATB2_OVOA,0.0022372878,True,e,True,False
CR158ee290a-5912,7330.145,16436.930833333336,Ex_DACH2_ZMAT4,0.0015098688,True,e,True,False
CR158ee290a-5913,28820.349259259263,10322.133333333331,Ex_DACH2_CEMIP,0.004295665,True,outside,False,False
CR158ee290a-5914,12620.3,16821.468333333334,Ex_DACH2_ADAMTS5,0.0007704283,True,e,True,False
CR158ee290a-5915,13323.836,15769.611,Ex_DACH2_RORB,0.0049485187,True,e,True,False
